,text,device,emotion
8793,google giving social another go google circle let's see guy make,,No emotion toward brand or product
8794,photo saving ipad style hpsxsw taken instagram,iPad,Positive emotion
8795,got craving mind created app foodspotting iphone apps,iPad or iPhone App,Positive emotion
8796,rescuing virtual robot daily life iphone envisioning day last tv broadcast that's morning,iPhone,Positive emotion
8797,website visited 73 google 66 microsoft 50 facebook 48 yahoo 31 wikimedia diversity,,No emotion toward brand or product
8798,got vmware talent community ipad app rockin signing talented professional tonight find,iPad or iPhone App,Positive emotion
8799,avoid long line jam packed party hurricane party new iphone app smm geo marketing,,No emotion toward brand or product
8800,protip avoid austin area apple store friday,Apple,Negative emotion
8801,auntie's voxpop popular apps worth watch many android phone view,Android,Negative emotion
8802,ogilvy sydney podcast ep3 many hashtags ausxsw,,No emotion toward brand or product
8803,ogilvy au podcast channel open bizness itunes subscribe daily update,,No emotion toward brand or product
8804,cheese ftw unlv pearl harbor ipad,,No emotion toward brand or product
8805,loving new iphone channel,iPhone,Positive emotion
8806,need android loving volunteer 10 45am,Android,Positive emotion
8807,love alt universe everyone us apple product fastest way reach someone,Apple,Positive emotion
8808,full touchingstories presentation,,No emotion toward brand or product
8809,know user us google tv room nobody raise hand packed room socialviewing session,Other Google product or service,Negative emotion
8810,saw blind guy iphone,,No emotion toward brand or product
8811,app mxm made awesome,,Positive emotion
8812,hey attendee summon town car party hopping iphone nothing short magic,,No emotion toward brand or product
8813,awesomeness apple opening temporary store downtown austin ipad launch,Apple,Positive emotion
8814,free cd download various artist sxsw featured artist itunes,,No emotion toward brand or product
8815,took day unplugged visit family anyone highlight google reader bursting seam,,No emotion toward brand or product
8816,festival time omg i'm scared got netbook firm's ipad droid,,Positive emotion
8817,fsw wanted know spec parsing ajax link,,No emotion toward brand or product
8818,sxsw go available iphone ipad android blackberry coming soon window phone presented hp wait webos,,No emotion toward brand or product
8819,dear goer please look fucking iphone walking hall thanks hipster hilarious,iPhone,Negative emotion
8820,grateful bicycle back twitter app cursing losing hour zzzs iphone battery life,iPhone,Negative emotion
8821,photo m spending sat night chatting husband skype iphone coffee,,No emotion toward brand or product
8822,dear iphone app suck year sitby u great include film session,iPad or iPhone App,Negative emotion
8823,wow big apple attending bringing along temporary store,Apple,Positive emotion
8824,woah buzz word wake google work imanaussie,,No emotion toward brand or product
8825,free lemonade stand iphone android wp7 two day startupbus,,No emotion toward brand or product
8826,wonder many ipads they'll sell tomorrow apple opening pop store,,No emotion toward brand or product
8827,wonder many sold ipad sold 70 went new buyer report,,No emotion toward brand or product
8828,free music sampler itunes includes barton hollow open itunes,Other Apple product or service,Positive emotion
8829,hmm _a slew iphone app update inc 4sq3 past day mean one thing soon,,No emotion toward brand or product
8830,hey peep go hang burner burn pan american park 8pm cc,,No emotion toward brand or product
8832,free playlist enjoy,,No emotion toward brand or product
8833,dear new rule google b4 twtng also add film gt replace locatn locatn cntxt cntxt,,No emotion toward brand or product
8834,dang rumor false alarm google circle coming probably ever allthingsd,,No emotion toward brand or product
8835,free sampler itunes freemusic,,Positive emotion
8836,next session agency need think like software company panel google barbarian group,,No emotion toward brand or product
8837,saw someone filming trade show floor teeny hand held steady cam iphone jealous,iPhone,Positive emotion
8838,free stream downloads via new free winamp app android market direct link app download market,Android App,Positive emotion
8839,love mac pc ratio like 25 ipad person ratio like three quarter one seriously ton ipads,iPad,Positive emotion
8840,apple know target audience pop shop sxsw sell ipad launch day apple,Apple,Positive emotion
8841,next we're heading designing ipad apps baby boomer wish apps yet tg,,No emotion toward brand or product
8842,know band see festival explorer austin edition help decide,,No emotion toward brand or product
8843,wanna know fast cellular signal get coverage austin io free detailed map,,No emotion toward brand or product
8844,wanna know get lunch without waiting 30min ask around saved lot time,,No emotion toward brand or product
8845,s new blogger blogging blogger google,,No emotion toward brand or product
8847,free featured artist playlist itunes freemusic,,No emotion toward brand or product
8848,hipster oversized earphone pluged new ipad make happy texas loose gun law,,No emotion toward brand or product
8849,can't wait give ipad someone want head www pep job upc enter must present win,iPad,No emotion toward brand or product
8850,tired waiting line store best buy austin announces ipad2 sale today,,No emotion toward brand or product
8851,wanna sign beta hhrs,,No emotion toward brand or product
8852,case wanna stalk google austinjs rocksauce shang accomplish thing,,No emotion toward brand or product
8853,lightbox want android's new camera raise million valley player betainvites,,No emotion toward brand or product
8854,location war heating austin google latitude launching check offer mayorships,,No emotion toward brand or product
8855,popup store austin sold nothing iphone battery extenders would make much money,iPhone,Negative emotion
8856,ever doubt influence apple innovation community look ipads iphone4's everywhere,Apple,Positive emotion
